"","CourseTitle","Term","Faculty","CourseSection","Phase","Area","Campus","Meeting Pattern","Bids","Closing Cost","Seats Available","Total seats","Enrolled","Program","WaitList","OpenSeats","Class","InstructorOverall","Learning","Difficulty","Global","Examples","Workload","Total Responses","Number of enrollees","year","quarter","phase","course","credit","eff"
"1218","Advertising Strategy","Fall 2015","Sternthal, Brian","MKTG-454-0 (61)","Fall 2015 Bidding Phase II","MKTG","Evanston","Tue/Fri 1:30 PM - 3:00 PM",17,0,28,65,17,"Full-Time",0,11,4.7,5,5,4.7,5.1,5.3,2.6,39,54,2015,"Fall","II","MKTG-454",1,0
"1219","Marketing Strategy","Fall 2015","Krishnamurthi, Lakshman","MKTG-466-0 (31)","Fall 2015 Bid to Waitlist","MKTG","Chicago","Tue 6:00 PM - 9:00 PM",0,0,0,5,0,"Full-Time",0,0,4.5,4.4,4.8,4.9,5.1,5.4,3.5,23,33,2015,"Fall","","MKTG-466",1,0
"1220","Marketing Strategy","Fall 2015","Krishnamurthi, Lakshman","MKTG-466-0 (31)","Fall 2015 Bidding Phase II","MKTG","Chicago","Tue 6:00 PM - 9:00 PM",0,0,0,5,0,"Full-Time",0,0,4.5,4.4,4.8,4.9,5.1,5.4,3.5,23,33,2015,"Fall","II","MKTG-466",1,0
"1221","Marketing Strategy","Fall 2015","Calkins, Timothy","MKTG-466-0 (61)","Fall 2015 Bid to Waitlist","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",0,0,0,65,0,"Full-Time",0,0,5.2,5.5,5.1,5,4.6,5.4,3.2,40,64,2015,"Fall","","MKTG-466",1,0
"1222","Marketing Strategy","Fall 2015","Calkins, Timothy","MKTG-466-0 (61)","Fall 2015 Bidding Phase I","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",50,0,65,65,55,"Full-Time",0,10,5.2,5.5,5.1,5,4.6,5.4,3.2,40,64,2015,"Fall","I","MKTG-466",1,0
"1223","Marketing Research and Analytics","Fall 2015","Maimaran, Michal","MKTG-450-0 (61)","Fall 2015 Bid to Waitlist","MKTG","Evanston","Mon/Thu 1:30 PM - 3:00 PM",0,0,4,65,0,"Full-Time",0,4,4.7,4.9,5.4,5,4.3,5.1,3.3,34,53,2015,"Fall","","MKTG-450",1,0
"1224","Marketing Research and Analytics","Fall 2015","Maimaran, Michal","MKTG-450-0 (61)","Fall 2015 Bidding Phase I","MKTG","Evanston","Mon/Thu 1:30 PM - 3:00 PM",61,0,65,65,61,"Full-Time",0,4,4.7,4.9,5.4,5,4.3,5.1,3.3,34,53,2015,"Fall","I","MKTG-450",1,0
"1225","Marketing Strategy","Fall 2015","Calkins, Timothy","MKTG-466-0 (62)","Fall 2015 Bid to Waitlist","MKTG","Evanston","Tue/Fri 10:30 AM - 12:00 PM",0,0,2,65,0,"Full-Time",0,2,5.6,5.7,5.5,5.4,4.8,5.6,3.3,34,65,2015,"Fall","","MKTG-466",1,0
"1226","Corporate Innovation and New Ventures","Fall 2015","DeBiase, Dean","KIEI-903-0 (31)","Fall 2015 Bid to Waitlist","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",0,0,0,5,0,"Full-Time",0,0,4.2,3.7,4.1,4.6,3.8,4.7,3.4,19,30,2015,"Fall","","KIEI-903",1,0
"1227","Corporate Innovation and New Ventures","Fall 2015","Earle, Jr., Paul","KIEI-903-0 (31)","Fall 2015 Bid to Waitlist","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",0,0,0,5,0,"Full-Time",0,0,4.1,3.9,3.9,4.3,3.7,4.3,3.3,15,30,2015,"Fall","","KIEI-903",1,0
"1228","New Venture Discovery","Fall 2015","Dwyer, Joe","KIEI-462-0 (70)","Fall 2015 Bid to Waitlist","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",0,0,0,5,0,"Weekend",0,0,3.4,3.5,3.9,3.4,2.9,3.9,2.4,16,39,2015,"Fall","","KIEI-462",1,0
"1229","Introduction to Software Development","Fall 2015","Eng, Brian","KIEI-924-5 (80)","Fall 2015 Bid to Waitlist","KIEI","Evanston","Fri 1:30 PM - 4:30 PM",1,0,0,24,0,"Full-Time",1,0,5.6,5.9,5.6,5.3,4.8,5.2,3.1,23,28,2015,"Fall","","KIEI-924",0.5,0
"1230","Leadership and Crisis Management","Fall 2015","Austen-Smith, David","KPPI-440-5 (71)","Fall 2015 Bid to Waitlist","KPPI","Chicago","Non-Standard Meetings",0,0,43,65,0,"Evening",0,43,4.6,5.2,4.9,4.9,5,5.3,3.1,33,38,2015,"Fall","","KPPI-440",0.5,0
"1231","Leadership and Crisis Management","Fall 2015","Austen-Smith, David","KPPI-440-5 (71)","Fall 2015 Bidding Phase I","KPPI","Chicago","Non-Standard Meetings",24,0,65,65,24,"Evening",0,41,4.6,5.2,4.9,4.9,5,5.3,3.1,33,38,2015,"Fall","I","KPPI-440",0.5,0
"1232","Leadership and Crisis Management","Fall 2015","Austen-Smith, David","KPPI-440-5 (71)","Fall 2015 Bidding Phase II","KPPI","Chicago","Non-Standard Meetings",2,0,44,65,2,"Evening",0,42,4.6,5.2,4.9,4.9,5,5.3,3.1,33,38,2015,"Fall","II","KPPI-440",0.5,0
"1233","Strategy Beyond Markets","Fall 2015","Persico, Nicola","KPPI-441-0 (31)","Fall 2015 Bid to Waitlist","KPPI","Chicago","Thu 6:00 PM - 9:00 PM",0,0,36,55,0,"Evening",0,36,5.1,5.5,5.5,5.3,5.7,5.7,2.5,35,37,2015,"Fall","","KPPI-441",1,0
"1234","Strategy Beyond Markets","Fall 2015","Persico, Nicola","KPPI-441-0 (31)","Fall 2015 Bidding Phase I","KPPI","Chicago","Thu 6:00 PM - 9:00 PM",20,0,55,55,20,"Evening",0,35,5.1,5.5,5.5,5.3,5.7,5.7,2.5,35,37,2015,"Fall","I","KPPI-441",1,0
"1235","Strategy Beyond Markets","Fall 2015","Persico, Nicola","KPPI-441-0 (31)","Fall 2015 Bidding Phase II","KPPI","Chicago","Thu 6:00 PM - 9:00 PM",3,0,38,55,3,"Evening",0,35,5.1,5.5,5.5,5.3,5.7,5.7,2.5,35,37,2015,"Fall","II","KPPI-441",1,0
"1236","Social Innovation: Designing for Change","Fall 2015","Lyon, Gabrielle","KPPI-452-0 (81)","Fall 2015 Bid to Waitlist","KPPI","Evanston","Thu 6:30 PM - 9:30 PM",0,0,1,5,0,"Evening",0,1,4.6,4.8,4.5,4.5,3.9,4.9,3.3,16,22,2015,"Fall","","KPPI-452",1,0
"1237","Leadership: Power, Politics and Talk","Fall 2015","Blount, Sally","KACI-469-5 (81)","Fall 2015 Bidding Phase II","KACI","Evanston","Mon 6:30 PM - 8:30 PM",0,0,0,95,0,"Full-Time",0,0,5,5.3,5.3,4.9,4.1,5.2,2.5,95,114,2015,"Fall","II","KACI-469",0.5,0
"1238","New Venture Discovery","Fall 2015","Dwyer, Joe","KIEI-462-0 (70)","Fall 2015 Bid to Waitlist","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",0,0,0,35,0,"Evening",0,0,3.4,3.5,3.9,3.4,2.9,3.9,2.4,16,39,2015,"Fall","","KIEI-462",1,0
"1239","Leadership: Power, Politics and Talk","Fall 2015","Blount, Sally","KACI-469-5 (81)","Fall 2015 Bid to Waitlist","KACI","Evanston","Mon 6:30 PM - 8:30 PM",0,0,0,95,0,"Full-Time",1,0,5,5.3,5.3,4.9,4.1,5.2,2.5,95,114,2015,"Fall","","KACI-469",0.5,0
"1240","Corporate Innovation and New Ventures","Fall 2015","DeBiase, Dean","KIEI-903-0 (31)","Fall 2015 Bid to Waitlist","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",0,0,0,25,0,"Evening",0,0,4.2,3.7,4.1,4.6,3.8,4.7,3.4,19,30,2015,"Fall","","KIEI-903",1,0
"1241","Corporate Innovation and New Ventures","Fall 2015","Earle, Jr., Paul","KIEI-903-0 (31)","Fall 2015 Bid to Waitlist","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",0,0,0,25,0,"Evening",0,0,4.1,3.9,3.9,4.3,3.7,4.3,3.3,15,30,2015,"Fall","","KIEI-903",1,0
"1242","Introduction to Software Development","Fall 2015","Eng, Brian","KIEI-924-5 (80)","Fall 2015 Bid to Waitlist","KIEI","Evanston","Fri 1:30 PM - 4:30 PM",0,0,0,3,0,"Evening",0,0,5.6,5.9,5.6,5.3,4.8,5.2,3.1,23,28,2015,"Fall","","KIEI-924",0.5,0
"1243","New Venture Discovery","Fall 2015","Schonthal, David","KIEI-462-0 (62)","Fall 2015 Bid to Waitlist","KIEI","Evanston","Thu 1:30 PM - 4:45 PM",0,0,0,40,0,"Full-Time",0,0,5.3,5.6,5.5,5.4,4.5,5.6,4.3,31,37,2015,"Fall","","KIEI-462",1,0
"1244","Global Corporate Governance","Fall 2015","Unknown","KIEI-965-0 (X71)","Fall 2015 Bidding Phase I","KIEI","Chicago",NA,5,0,40,40,5,"Evening",0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"Fall","I","KIEI-965",1,NA
"1245","Global Corporate Governance","Fall 2015","Unknown","KIEI-965-0 (X71)","Fall 2015 Bidding Phase II","KIEI","Chicago",NA,2,0,35,40,2,"Evening",0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"Fall","II","KIEI-965",1,NA
"1246","New Venture Discovery","Fall 2015","Vehovsky, Gabe","KIEI-462-0 (61)","Fall 2015 Bidding Phase I","KIEI","Evanston","Tue 1:30 PM - 4:45 PM",31,0,37,40,31,"Full-Time",0,6,3.7,3.2,3.9,3.8,3.5,4.4,4.3,17,38,2015,"Fall","I","KIEI-462",1,0
"1247","Financial Decisions","Fall 2015","Raviv, Artur","FINC-442-0 (62)","Fall 2015 Bid to Waitlist","FINC","Evanston","Tue/Fri 10:30 AM - 12:00 PM",0,0,0,50,0,"Full-Time",0,0,5.4,5.5,5.6,5.7,4.5,5.2,4.4,42,49,2015,"Fall","","FINC-442",1,0
"1248","Leadership and Crisis Management","Summer 2015","Persico, Nicola","KPPI-440-A (71)","Summer 2015 Bid to Waitlist","KPPI","Chicago","Non-Standard Meetings",0,0,0,65,0,"E&W",0,0,5.2,5.2,5.3,5.1,5.5,5.5,3.2,17,18,2015,"Summer","","",NA,0
"1249","Leadership and Crisis Management","Summer 2015","Persico, Nicola","KPPI-440-A (71)","Summer 2015 Bidding Phase I","KPPI","Chicago","Non-Standard Meetings",17,0,65,65,17,"E&W",0,48,5.2,5.2,5.3,5.1,5.5,5.5,3.2,17,18,2015,"Summer","I","",NA,0
"1250","Leadership and Crisis Management","Summer 2015","Persico, Nicola","KPPI-440-A (71)","Summer 2015 Bidding Phase II","KPPI","Chicago","Non-Standard Meetings",1,0,18,65,1,"E&W",0,17,5.2,5.2,5.3,5.1,5.5,5.5,3.2,17,18,2015,"Summer","II","",NA,0
"1251","Microeconomic Analysis","Summer 2015","Wagman, Liad","MECN-430-0 (71)","Summer 2015 Bidding Phase I","MECN","Chicago","Wed 6:00 PM - 9:00 PM",50,0,65,65,50,"E&W",0,15,4.8,5,4.9,4.7,5.4,5.5,2.6,59,76,2015,"Summer","I","MECN-430",1,0
"1252","Microeconomic Analysis","Summer 2015","Wagman, Liad","MECN-430-0 (71)","Summer 2015 Bidding Phase II","MECN","Chicago","Wed 6:00 PM - 9:00 PM",2,0,20,65,2,"E&W",0,18,4.8,5,4.9,4.7,5.4,5.5,2.6,59,76,2015,"Summer","II","MECN-430",1,0
"1253","Competitive Strategy and Industrial Structure","Summer 2015","Saraniti, Brett","MECN-441-0 (71)","Summer 2015 Bid to Waitlist","MECN","Chicago","Wed 6:00 PM - 9:00 PM",1,0,0,65,0,"E&W",1,0,5.1,5.4,5.3,5.3,5,5.4,3.3,43,50,2015,"Summer","","MECN-441",1,0
"1254","International Finance","Fall 2015","Rebelo, Sergio","FINC-470-0 (62)","Fall 2015 Bid to Waitlist","FINC","Evanston","Mon/Thu 3:30 PM - 5:00 PM",1,0,0,65,0,"Full-Time",1,0,5.3,5.7,5.4,5.1,6,5.7,2.6,57,65,2015,"Fall","","FINC-470",1,0
"1255","Managerial Leadership","Fall 2015","Kraemer, Harry","KACI-468-0 (91)","Fall 2015 Bid to Waitlist","KACI","Evanston","Wed 6:30 PM - 9:30 PM",0,0,0,65,0,"Full-Time",0,0,4.7,5,4.8,4.3,4.3,5,1.9,55,69,2015,"Fall","","KACI-468",1,0
"1256","Leader as Coach","Fall 2015","Ellington Booth, Brenda","KACI-462-0 (61)","Fall 2015 Bid to Waitlist","KACI","Evanston","Tue/Fri 10:30 AM - 12:00 PM",0,0,0,36,0,"Full-Time",0,0,4.7,4.7,5.1,4.7,4,4.2,2.9,28,32,2015,"Fall","","KACI-462",1,0
"1257","Leader as Coach","Fall 2015","Ellington Booth, Brenda","KACI-462-0 (61)","Fall 2015 Bidding Phase I","KACI","Evanston","Tue/Fri 10:30 AM - 12:00 PM",32,0,33,36,32,"Full-Time",0,1,4.7,4.7,5.1,4.7,4,4.2,2.9,28,32,2015,"Fall","I","KACI-462",1,0
"1258","Investment Banking Recruiting Prep","Fall 2015","Stowell, David","FINC-944-5 (81)","Fall 2015 Bidding Phase I","FINC","Evanston","Tue 6:30 PM - 9:30 PM",7,0,49,55,7,"Full-Time",0,42,5,5.5,5.1,4.8,4.9,5.3,1.6,18,60,2015,"Fall","I","FINC-944",0.5,0
"1259","Investment Banking Recruiting Prep","Fall 2015","Stowell, David","FINC-944-5 (81)","Fall 2015 Bidding Phase II","FINC","Evanston","Tue 6:30 PM - 9:30 PM",2,0,42,55,2,"Full-Time",0,40,5,5.5,5.1,4.8,4.9,5.3,1.6,18,60,2015,"Fall","II","FINC-944",0.5,0
"1260","Finance II","Fall 2015","Chopra, Navin","FINC-431-0 (76)","Fall 2015 Bidding Phase I","FINC","Chicago","Sat 1:30 PM - 4:30 PM",39,0,65,65,39,"Weekend",0,26,4.9,5.3,5.3,5.1,4.7,5.3,3.6,31,47,2015,"Fall","I","FINC-431",1,0
"1261","Finance II","Fall 2015","Chopra, Navin","FINC-431-0 (76)","Fall 2015 Bidding Phase II","FINC","Chicago","Sat 1:30 PM - 4:30 PM",2,0,27,65,2,"Weekend",0,25,4.9,5.3,5.3,5.1,4.7,5.3,3.6,31,47,2015,"Fall","II","FINC-431",1,0
"1262","International Finance","Fall 2015","Rebelo, Sergio","FINC-470-0 (70)","Fall 2015 Bid to Waitlist","FINC","Chicago","Tue 6:00 PM - 9:00 PM",0,0,7,10,0,"Weekend",0,7,5.6,5.9,5.7,5.3,5.9,5.6,3.1,42,51,2015,"Fall","","FINC-470",1,0
"1263","International Finance","Fall 2015","Rebelo, Sergio","FINC-470-0 (70)","Fall 2015 Bidding Phase I","FINC","Chicago","Tue 6:00 PM - 9:00 PM",3,0,10,10,3,"Weekend",0,7,5.6,5.9,5.7,5.3,5.9,5.6,3.1,42,51,2015,"Fall","I","FINC-470",1,0
"1264","International Finance","Fall 2015","Rebelo, Sergio","FINC-470-0 (70)","Fall 2015 Bidding Phase II","FINC","Chicago","Tue 6:00 PM - 9:00 PM",0,0,7,10,0,"Weekend",0,7,5.6,5.9,5.7,5.3,5.9,5.6,3.1,42,51,2015,"Fall","II","FINC-470",1,0
"1265","Biomedical Marketing","Fall 2015","Calkins, Timothy","HEMA-914-0 (61)","Fall 2015 Bidding Phase I","HEMA","Evanston","Mon/Thu 10:30 AM - 12:00 PM",38,0,48,50,38,"Full-Time",0,10,5.3,5.6,5.2,5.1,4.3,5.4,2.6,36,49,2015,"Fall","I","HEMA-914",1,0
"1266","Biomedical Marketing","Fall 2015","Calkins, Timothy","HEMA-914-0 (61)","Fall 2015 Bidding Phase II","HEMA","Evanston","Mon/Thu 10:30 AM - 12:00 PM",6,0,13,50,6,"Full-Time",0,7,5.3,5.6,5.2,5.1,4.3,5.4,2.6,36,49,2015,"Fall","II","HEMA-914",1,0
"1267","Personal Leadership Insights","Fall 2015","Corona, Paul","KACI-461-5 (71)","Fall 2015 Bidding Phase I","KACI","Chicago","Tue 6:00 PM - 8:00 PM",3,0,10,10,3,"Evening",0,7,5.7,5.8,5.8,5.9,5.7,5.8,2.4,9,10,2015,"Fall","I","KACI-461",0.5,0
"1268","Personal Leadership Insights","Fall 2015","Corona, Paul","KACI-461-5 (71)","Fall 2015 Bidding Phase II","KACI","Chicago","Tue 6:00 PM - 8:00 PM",1,0,7,10,1,"Evening",0,6,5.7,5.8,5.8,5.9,5.7,5.8,2.4,9,10,2015,"Fall","II","KACI-461",0.5,0
"1269","Perspectives on Leadership","Fall 2015","Hughes, Edward","KACI-467-0 (71)","Fall 2015 Bid to Waitlist","KACI","Chicago","Tue 6:00 PM - 9:00 PM",0,0,35,47,0,"Evening",0,35,5.4,5.5,5.5,5.1,4.7,5.4,2.7,31,33,2015,"Fall","","KACI-467",1,0
"1270","Perspectives on Leadership","Fall 2015","Hughes, Edward","KACI-467-0 (71)","Fall 2015 Bidding Phase I","KACI","Chicago","Tue 6:00 PM - 9:00 PM",11,0,47,47,11,"Evening",0,36,5.4,5.5,5.5,5.1,4.7,5.4,2.7,31,33,2015,"Fall","I","KACI-467",1,0
"1271","Perspectives on Leadership","Fall 2015","Hughes, Edward","KACI-467-0 (71)","Fall 2015 Bidding Phase II","KACI","Chicago","Tue 6:00 PM - 9:00 PM",4,0,37,47,4,"Evening",0,33,5.4,5.5,5.5,5.1,4.7,5.4,2.7,31,33,2015,"Fall","II","KACI-467",1,0
"1272","Leadership: Power, Politics and Talk","Fall 2015","Blount, Sally","KACI-469-5 (81)","Fall 2015 Bid to Waitlist","KACI","Evanston","Mon 6:30 PM - 8:30 PM",0,0,3,25,0,"Evening",0,3,5,5.3,5.3,4.9,4.1,5.2,2.5,95,114,2015,"Fall","","KACI-469",0.5,0
"1273","Leadership: Power, Politics and Talk","Fall 2015","Blount, Sally","KACI-469-5 (81)","Fall 2015 Bidding Phase I","KACI","Evanston","Mon 6:30 PM - 8:30 PM",19,0,25,25,19,"Evening",0,6,5,5.3,5.3,4.9,4.1,5.2,2.5,95,114,2015,"Fall","I","KACI-469",0.5,0
"1274","Leadership: Power, Politics and Talk","Fall 2015","Blount, Sally","KACI-469-5 (81)","Fall 2015 Bidding Phase II","KACI","Evanston","Mon 6:30 PM - 8:30 PM",6,0,8,25,6,"Evening",0,2,5,5.3,5.3,4.9,4.1,5.2,2.5,95,114,2015,"Fall","II","KACI-469",0.5,0
"1275","Personal Leadership Insights","Fall 2015","Ellington Booth, Brenda","KACI-461-5 (61)","Fall 2015 Bid to Waitlist","KACI","Evanston","Non-Standard Meetings",2,0,0,10,0,"Full-Time",2,0,5.9,5.9,5.9,5.7,4.8,5.2,2.8,9,10,2015,"Fall","","KACI-461",0.5,0
"1276","Value Investing","Winter 2016","Jagannathan, Ravi","FINC-444-0 (81)","Winter 2016 Bidding Phase I","FINC","Evanston","Thu 6:30 PM - 9:30 PM",16,0,38,40,16,"Full-Time",0,22,3.5,3.1,4.2,3.7,4.4,4.4,2.9,10,18,2016,"Winter","I","FINC-444",1,0
"1277","Value Investing","Winter 2016","Jagannathan, Ravi","FINC-444-0 (81)","Winter 2016 Bidding Phase II","FINC","Evanston","Thu 6:30 PM - 9:30 PM",7,0,24,40,7,"Full-Time",0,17,3.5,3.1,4.2,3.7,4.4,4.4,2.9,10,18,2016,"Winter","II","FINC-444",1,0
"1278","Financial Strategy and Tax","Winter 2016","Petersen, Mitchell","FINC-447-0 (81)","Winter 2016 Bidding Phase I","FINC","Evanston","Mon 6:30 PM - 9:30 PM",20,0,55,55,20,"Full-Time",0,35,4.9,5.7,5.3,5.7,5.2,5.6,3.7,20,20,2016,"Winter","I","FINC-447",1,0
"1279","Financial Strategy and Tax","Winter 2016","Petersen, Mitchell","FINC-447-0 (81)","Winter 2016 Bidding Phase II","FINC","Evanston","Mon 6:30 PM - 9:30 PM",2,0,35,55,2,"Full-Time",0,33,4.9,5.7,5.3,5.7,5.2,5.6,3.7,20,20,2016,"Winter","II","FINC-447",1,0
"1280","Mergers and Acquisitions, LBOs and Corporate Restructuring","Winter 2016","Liberti, Jose Maria","FINC-448-0 (81)","Winter 2016 Bid to Waitlist","FINC","Evanston","Wed 6:30 PM - 9:30 PM",0,0,0,35,0,"Full-Time",2,0,5.8,6,5.9,5.9,5.6,6,5.9,34,38,2016,"Winter","","FINC-448",1,0
"1281","Financial Decisions","Winter 2016","Benmelech, Efraim","FINC-442-0 (62)","Winter 2016 Bid to Waitlist","FINC","Evanston","Mon/Thu 10:30 AM - 12:00 PM",0,0,0,50,0,"Full-Time",4,0,5.2,5.2,5.6,5.6,5.2,5.4,4.2,46,50,2016,"Winter","","FINC-442",1,0
"1282","Finance II","Winter 2016","Frydman, Carola","FINC-431-0 (63)","Winter 2016 Bidding Phase I","FINC","Evanston","Tue/Fri 10:30 AM - 12:00 PM",11,0,49,50,11,"Full-Time",0,38,4.6,4.8,5.2,5.4,4.6,4.9,3.5,42,48,2016,"Winter","I","FINC-431",1,0
"1283","Finance II","Winter 2016","Frydman, Carola","FINC-431-0 (63)","Winter 2016 Bidding Phase II","FINC","Evanston","Tue/Fri 10:30 AM - 12:00 PM",31,0,38,50,31,"Full-Time",0,7,4.6,4.8,5.2,5.4,4.6,4.9,3.5,42,48,2016,"Winter","II","FINC-431",1,0
"1284","Finance II","Winter 2016","Matsa, David","FINC-431-0 (62)","Winter 2016 Bid to Waitlist","FINC","Evanston","Mon/Thu 1:30 PM - 3:00 PM",0,0,0,50,0,"Full-Time",1,0,4.9,5.4,5.4,5.5,4.5,5.3,3.6,43,49,2016,"Winter","","FINC-431",1,0
"1285","Finance I","Winter 2016","Unknown","FINC-430-0 (X63)","Winter 2016 Bidding Phase I","FINC","Evanston",NA,2,0,65,65,2,"Full-Time",0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Winter","I","FINC-430",1,NA
"1286","Finance II","Winter 2016","Matsa, David","FINC-431-0 (61)","Winter 2016 Bid to Waitlist","FINC","Evanston","Mon/Thu 10:30 AM - 12:00 PM",0,0,0,50,0,"Full-Time",1,0,4.8,5.1,5.2,5.5,4.3,5.5,3.8,45,48,2016,"Winter","","FINC-431",1,0
"1287","Finance I","Winter 2016","Braun, Phillip","FINC-430-0 (65)","Winter 2016 Bid to Waitlist","FINC","Evanston","Tue/Fri 1:30 PM - 3:00 PM",0,0,0,65,0,"Full-Time",1,0,5.2,5.4,5.4,5.2,4.6,5.3,2.9,46,65,2016,"Winter","","FINC-430",1,0
"1288","Finance I","Winter 2016","Braun, Phillip","FINC-430-0 (65)","Winter 2016 Bidding Phase I","FINC","Evanston","Tue/Fri 1:30 PM - 3:00 PM",46,0,65,65,65,"Full-Time",0,0,5.2,5.4,5.4,5.2,4.6,5.3,2.9,46,65,2016,"Winter","I","FINC-430",1,0
"1289","Managerial Accounting","Winter 2016","Walther, Beverly","ACCT-431-0 (62)","Winter 2016 Bid to Waitlist","ACCT","Evanston","Mon/Thu 10:30 AM - 12:00 PM",0,0,0,65,0,"Full-Time",4,0,4.7,5.2,5.2,4.8,4.7,5.2,2.4,59,63,2016,"Winter","","ACCT-431",1,0
"1290","Real Estate Finance and Investments","Winter 2016","Furfine, Craig","FINC-454-0 (62)","Winter 2016 Bidding Phase I","FINC","Evanston","Tue/Fri 3:30 PM - 5:00 PM",17,0,64,65,23,"Full-Time",0,41,5.2,5.6,5.4,5.8,4.2,5.6,3.6,26,32,2016,"Winter","I","FINC-454",1,0
"1291","Real Estate Finance and Investments","Winter 2016","Furfine, Craig","FINC-454-0 (62)","Winter 2016 Bidding Phase II","FINC","Evanston","Tue/Fri 3:30 PM - 5:00 PM",14,0,41,65,14,"Full-Time",0,27,5.2,5.6,5.4,5.8,4.2,5.6,3.6,26,32,2016,"Winter","II","FINC-454",1,0
"1292","Investments","Winter 2016","Dew-Becker, Ian","FINC-460-0 (61)","Winter 2016 Bidding Phase I","FINC","Evanston","Mon/Thu 3:30 PM - 5:00 PM",19,0,65,65,19,"Full-Time",0,46,4.6,5,5.3,5.4,5.1,5.5,2.7,13,21,2016,"Winter","I","FINC-460",1,0
"1293","Investments","Winter 2016","Dew-Becker, Ian","FINC-460-0 (61)","Winter 2016 Bidding Phase II","FINC","Evanston","Mon/Thu 3:30 PM - 5:00 PM",3,0,46,65,3,"Full-Time",0,43,4.6,5,5.3,5.4,5.1,5.5,2.7,13,21,2016,"Winter","II","FINC-460",1,0
"1294","Derivative Markets I","Winter 2016","Skiadas, Constantinos","FINC-465-0 (61)","Winter 2016 Bidding Phase I","FINC","Evanston","Mon/Thu 10:30 AM - 12:00 PM",27,0,38,40,27,"Full-Time",0,11,4,4.4,4.6,5.1,4.9,4.6,3.1,20,24,2016,"Winter","I","FINC-465",1,0
"1295","Derivative Markets I","Winter 2016","Skiadas, Constantinos","FINC-465-0 (61)","Winter 2016 Bidding Phase II","FINC","Evanston","Mon/Thu 10:30 AM - 12:00 PM",10,0,12,40,10,"Full-Time",0,2,4,4.4,4.6,5.1,4.9,4.6,3.1,20,24,2016,"Winter","II","FINC-465",1,0
"1296","Derivative Markets II","Winter 2016","McDonald, Robert","FINC-467-0 (81)","Winter 2016 Bidding Phase I","FINC","Evanston","Thu 6:30 PM - 9:30 PM",7,0,54,55,7,"Full-Time",0,47,5.7,6,5.7,5.9,5.9,6,3.1,7,8,2016,"Winter","I","FINC-467",1,0
"1297","Derivative Markets II","Winter 2016","McDonald, Robert","FINC-467-0 (81)","Winter 2016 Bidding Phase II","FINC","Evanston","Thu 6:30 PM - 9:30 PM",0,0,47,55,0,"Full-Time",0,47,5.7,6,5.7,5.9,5.9,6,3.1,7,8,2016,"Winter","II","FINC-467",1,0
"1298","Thought Leadership Seminar","Winter 2016","Matsa, David","FINC-484-5 (61)","Winter 2016 Bidding Phase I","FINC","Evanston","Tue/Fri 10:30 AM - 12:00 PM",18,0,20,20,18,"Full-Time",0,2,5.5,5.7,5.3,5.8,5.7,5.8,2.8,20,20,2016,"Winter","I","FINC-484",0.5,0
"1299","Money Markets and the Fed","Winter 2016","Marshall, David","FINC-451-0 (30)","Winter 2016 Bid to Waitlist","FINC","Chicago","Mon 6:00 PM - 9:00 PM",0,0,11,20,0,"Full-Time",0,11,4.9,5,5.2,5.3,5.4,5.7,3.1,34,54,2016,"Winter","","FINC-451",1,0
"1300","Money Markets and the Fed","Winter 2016","Marshall, David","FINC-451-0 (30)","Winter 2016 Bidding Phase I","FINC","Chicago","Mon 6:00 PM - 9:00 PM",11,0,20,20,11,"Full-Time",0,9,4.9,5,5.2,5.3,5.4,5.7,3.1,34,54,2016,"Winter","I","FINC-451",1,0
"1301","Money Markets and the Fed","Winter 2016","Marshall, David","FINC-451-0 (30)","Winter 2016 Bidding Phase II","FINC","Chicago","Mon 6:00 PM - 9:00 PM",2,0,12,20,2,"Full-Time",0,10,4.9,5,5.2,5.3,5.4,5.7,3.1,34,54,2016,"Winter","II","FINC-451",1,0
"1302","Real Estate Finance and Investments","Winter 2016","Furfine, Craig","FINC-454-0 (61)","Winter 2016 Bid to Waitlist","FINC","Evanston","Tue/Fri 1:30 PM - 3:00 PM",0,0,0,65,0,"Full-Time",4,0,5.3,5.6,5.5,5.6,4.7,5.7,3.6,57,65,2016,"Winter","","FINC-454",1,0
"1303","Thought Leadership Seminar","Winter 2016","Matsa, David","FINC-484-5 (62)","Winter 2016 Bidding Phase I","FINC","Evanston","Tue/Fri 1:30 PM - 3:00 PM",11,0,19,20,11,"Full-Time",0,8,5.8,6,5.4,5.7,5.6,5.9,2.6,9,10,2016,"Winter","I","FINC-484",0.5,0
